name,status,envtag,method,leaves_budget,seed,alg,env,difficulty,leaves_actual,depth,select,report,report_min,report_max,frac100,n_report,bigjumps,candjumps
bus5_daggertree_L64_s101,ok,bus5,daggertree,64,101,DTPO,bus5,0,64,11,90.04,90.04,0.45,100.00,90.0,10,0,0
bus5_daggertree_L64_s102,ok,bus5,daggertree,64,102,DTPO,bus5,0,64,11,90.04,90.04,0.45,100.00,90.0,10,0,0
bus5_daggertree_L64_s103,ok,bus5,daggertree,64,103,DTPO,bus5,0,64,11,90.04,90.04,0.45,100.00,90.0,10,0,0
bus5_daggertree_L64_s104,ok,bus5,daggertree,64,104,DTPO,bus5,0,64,11,90.04,90.04,0.45,100.00,90.0,10,0,0
bus5_daggertree_L8_s100,ok,bus5,daggertree,8,100,DTPO,bus5,0,8,5,0.13,0.13,0.05,0.55,0.0,10,0,0
bus5_daggertree_L8_s101,ok,bus5,daggertree,8,101,DTPO,bus5,0,8,5,0.13,0.13,0.05,0.55,0.0,10,0,0
bus5_daggertree_L8_s102,ok,bus5,daggertree,8,102,DTPO,bus5,0,8,5,0.13,0.13,0.05,0.55,0.0,10,0,0
bus5_daggertree_L8_s103,ok,bus5,daggertree,8,103,DTPO,bus5,0,8,5,0.13,0.13,0.05,0.55,0.0,10,0,0
bus5_daggertree_L8_s104,ok,bus5,daggertree,8,104,DTPO,bus5,0,8,5,0.13,0.13,0.05,0.55,0.0,10,0,0
bus5_distill_L16_s100,ok,bus5,distill,16,100,DTPO,bus5,0,16,8,0.43,0.43,0.05,3.87,0.0,10,0,0
bus5_distill_L16_s101,ok,bus5,distill,16,101,DTPO,bus5,0,16,8,0.43,0.43,0.05,3.87,0.0,10,0,0
bus5_distill_L16_s102,ok,bus5,distill,16,102,DTPO,bus5,0,16,8,0.43,0.43,0.05,3.87,0.0,10,0,0
bus5_distill_L16_s103,ok,bus5,distill,16,103,DTPO,bus5,0,16,8,0.43,0.43,0.05,3.87,0.0,10,0,0
bus5_distill_L16_s104,ok,bus5,distill,16,104,DTPO,bus5,0,16,8,0.43,0.43,0.05,3.87,0.0,10,0,0
bus5_distill_L32_s100,ok,bus5,distill,32,100,DTPO,bus5,0,32,11,0.42,0.42,0.05,3.77,0.0,10,0,0
bus5_distill_L32_s101,ok,bus5,distill,32,101,DTPO,bus5,0,32,11,0.42,0.42,0.05,3.77,0.0,10,0,0
bus5_distill_L32_s102,ok,bus5,distill,32,102,DTPO,bus5,0,32,11,0.42,0.42,0.05,3.77,0.0,10,0,0
bus5_distill_L32_s103,ok,bus5,distill,32,103,DTPO,bus5,0,32,11,0.42,0.42,0.05,3.77,0.0,10,0,0
bus5_distill_L32_s104,ok,bus5,distill,32,104,DTPO,bus5,0,32,11,0.42,0.42,0.05,3.77,0.0,10,0,0
bus5_distill_L64_s100,ok,bus5,distill,64,100,DTPO,bus5,0,64,15,0.41,0.41,0.05,3.67,0.0,10,0,0
bus5_distill_L64_s101,ok,bus5,distill,64,101,DTPO,bus5,0,64,15,0.41,0.41,0.05,3.67,0.0,10,0,0
bus5_distill_L64_s102,ok,bus5,distill,64,102,DTPO,bus5,0,64,15,0.41,0.41,0.05,3.67,0.0,10,0,0
bus5_distill_L64_s103,ok,bus5,distill,64,103,DTPO,bus5,0,64,15,0.41,0.41,0.05,3.67,0.0,10,0,0
bus5_distill_L64_s104,ok,bus5,distill,64,104,DTPO,bus5,0,64,15,0.41,0.41,0.05,3.67,0.0,10,0,0
bus5_distill_L8_s100,ok,bus5,distill,8,100,DTPO,bus5,0,8,5,0.13,0.13,0.05,0.55,0.0,10,0,0
bus5_distill_L8_s101,ok,bus5,distill,8,101,DTPO,bus5,0,8,5,0.13,0.13,0.05,0.55,0.0,10,0,0
bus5_distill_L8_s102,ok,bus5,distill,8,102,DTPO,bus5,0,8,5,0.13,0.13,0.05,0.55,0.0,10,0,0
